,text,neg,neu,pos,compound,comp_score
176,"rd19 reborn21s luvsucculent long time ago, tsunami, earthquake, volcano erupted, burned the forest, there was a role from dew, there was collaboration between haarp and dew, only when there was congorna, only a few became more literate. so https t co vxxkspwj4i",0.0,1.0,0.0,0.0,neu
177,"aries bintan ilhamrandy10 rianrd3 alvinlie21 10 years has not been the era of shame over forest fires, you can't export smoke to neighboring countries every year, so that the state always protests without leadership until everyone calls the country on autopilot and goes on their own https t co ji6ejczxeb",0.096,0.904,0.0,-0.6124,neg
178,portugal forest fires in the middle of the dry 29 injured https t co yn4sytvf1e,0.172,0.828,0.0,-0.4019,neg
179,"the area of ​​forest and land burned in the upstream reaches 80 hectares, the fire can only be extinguished after 3 days madam https t co z0k72u4e56",0.09,0.865,0.045,-0.296,neg
180,"wkwkkw it's cool but it would be better if you want to make something like this on an empty land, don't go near the forest, the worst case can cause fire https t co k0a4o2moyx",0.227,0.561,0.212,-0.4118,neg
181,"prevent forest fires, climb up merbabu, prohibit only fires still burning https t co s3y4xqdc1c",0.0,0.922,0.078,0.0258,neu
182,Burning forests in us threatens to have big trees in the world https t co ulwalnxcgj sariagri tani,0.14,0.86,0.0,-0.3818,neg
183,forest fires threaten thousand year old sequoia trees https t co mt5nuhhips via youtube,0.178,0.822,0.0,-0.3818,neg
184,portugal wrestling hands burning forest heat wave https t co y6gnbzphfr via youtube,0.0,1.0,0.0,0.0,neu
185,war against forest burn portugal collar 3 000 madam and 60 planes https t co 9hj5anqlty,0.231,0.769,0.0,-0.5994,neg
186,burn portugal forest collar 3 000 madam duty https t co 2yppsedbye,0.0,1.0,0.0,0.0,neu
187,natural phenomenon of forest fire https t co ozx6tb7e4p,0.22,0.55,0.229,0.0258,neu
188,Burning forest and land in the upper reaches of Riau is getting more and more difficult. Madam Api's task is difficult because water is difficult and access to the location is very difficult.,0.295,0.676,0.029,-0.9006,neg
189,portugal forest fires in the middle of dry 29 injured https t co aty3yxs07w,0.184,0.816,0.0,-0.4019,neg
190,portugal wrestles with onenews forest fire https t co ckau4gzhbg,0.231,0.769,0.0,-0.34,neg
191,https t co eswb3qc4vl https t co eswb3qc4vl,0.0,1.0,0.0,0.0,neu
192,worried about burning forests in malaysiagazette https t co wrxzon7pbb,0.216,0.784,0.0,-0.6808,neg
193,Burning forest and land in the upper reaches of Riau is getting more and more difficult. Madam Api's task is difficult because water is difficult and access to the location is very difficult https t co h6ss6ltnhz,0.275,0.698,0.027,-0.9006,neg
194,Burning forest and land in the upper reaches of Riau is becoming more and more difficult. Madam Api's task is difficult because water is difficult and access to the location is very difficult https t co dbzc5nbky7,0.275,0.698,0.027,-0.9721,neg
195,Heat wave hits Spain again due to forest fires https t co hiazvdmdt2,0.0,1.0,0.0,0.0,neu
196,"burn the forest back into Riau, water bombing helicopter collar https t co 7gj6gujluj",0.0,1.0,0.0,0.0,neu
197,one collar water bombing helicopter to help madam burn the forest https t co yow9jgdf7e,0.0,0.828,0.172,0.4019,pos
198,https t co dkvge0jens fires landa california forest threatens world's old trees https t co orh9q1dvrz,0.167,0.833,0.0,-0.3818,neg
199,Burn the finished forest at the fruit of the land at the small town fruit iklin in central malta on Sunday 10 7 pm the time of duty madam burn immediately collar for madam blaze https t co ydbjcycv1p,0.0,1.0,0.0,0.0,neu
200,"Head of the Regional Disaster Management Agency, BPBD, Riau Province, Medy Afrizal, said helicopters had been deployed to support Madam's efforts to burn forest and land in several parts of Riau. https t co cifeqdunkw",0.106,0.825,0.07,-0.34,neg
201,more than 3 000 firefighters and 30 collar planes for forest fire control on week 10 7 in portugal authorities said the fire had injured 29 people https t co p23ggp79az,0.231,0.769,0.0,-0.7579,neg
202,burn portugal forest https t co a2nztuzbwm,0.0,1.0,0.0,0.0,neu
203,eric vander boy cnnindonesia riau burns the singapore forest cover the smoke try to wind up why is singapore raging the same as jakarta dongok,0.124,0.876,0.0,-0.5267,neg
204,spain send help to portugal https t co 0mygiuxrxa,0.0,0.722,0.278,0.4019,pos
205,"there's a lot of forest burning right now, really wkwkw https t co 1quze3egaq",0.0,1.0,0.0,0.0,neu
206,burn forest landa portugal in the middle of heatwave https t co xcmvjjfpnr,0.0,1.0,0.0,0.0,neu
207,"burning empty land and it is customary for people to catch swamp fish by burning in Oki Regency, it is necessary to pay attention to stakeholders, strong community awareness, regulations, sanctions and the law and multi-stakeholder cooperation as to prevent forest and land fires https t co 7b1kmpwz4f",0.063,0.85,0.087,0.296,pos
208,"burn the forest again, landa skirt upstream riau 50 hectares of fire sindonews is not ordinary news https t co 5xz7kjpk54",0.112,0.888,0.0,-0.34,neg
209,burn yosemite park fire that threatens forest giant sequoia tree known yosemite still growing https t co nf707ccfgz,0.242,0.676,0.082,-0.765,neg
210,burning forest and air pollution https t co iwixyva7kt,0.0,1.0,0.0,0.0,neu
211,yellow warning for extreme high temperature --- madrid city of kuning,0.194,0.806,0.0,-0.34,neg
212,"burning land and forests in rohul, the task of asking for water bombing is getting wider https t co axjbs7lusv https t co givlp4tzqt",0.0,1.0,0.0,0.0,neu
213,xxdmrkle your account is burning the forest,0.0,1.0,0.0,0.0,neu
214,hellgateonearth apkh there is a forest fire sis,0.286,0.714,0.0,-0.34,neg
215,like forest fire,0.407,0.169,0.424,0.0258,neu
216,prevent land and forest to avoid burning by babinsa koramil 09 kemuning https t co rs6isyweya https t co jkamkzu3ga,0.114,0.829,0.057,-0.2732,neg
217,burning forest and land and forest fires in the village of Suka advanced sub-district head encroaching on Rok Hulu district Rohul Riau Pasuk Day two of the week 10 7 2022 https t co l5o89tsry7,0.0,0.941,0.059,0.25,pos
218,Roseola asks for forest fire,0.375,0.625,0.0,-0.34,neg
219,control center for climate change and forest and land fires for Java region bal nusa southeast wish you a happy Eid al-Adha 1443h buddyiklim khlk ditjenppi bppikhljbn https t co woyxbbnrz1,0.0,0.808,0.192,0.7506,pos
220,"control center for climate change and forest and land fires in Java, Nusa Tenggara, wish you a happy Eid al-Adha 1443h buddyiklim khlk ditjenppi bppikhljbn https t co gtkp2zvlbz",0.0,0.796,0.204,0.7506,pos
221,"The car wipe that was in front of the workshop fruit was destroyed in a fire in a forest area near the road to Nova U5 94a, the beautiful page of the night, the vibration of the past https t co z8rxi0jgpi",0.123,0.791,0.086,-0.1779,neg
222,It's good to be able to sell forest fires that participate because the Madam operation's fire vehicle laps will sell immediately until Burning Jaya controls the word in reality today https t co 0yphqjpzsx,0.066,0.854,0.08,0.25,pos
223,"The appearance of the wild boar Inoko mochi is an essential dish to serve at sado time because it is believed that the wild boar is the message of Marici, the god of war and fire in Buddhism and believes in strong possessions to help anyone from being burned.",0.108,0.753,0.139,0.2023,pos
224,Sungaibuloh Bomba received an anxious call on fire on the road nova u5 94a scenic page at 8 29 pm https t co aqfdcrgz1o,0.18,0.82,0.0,-0.8807,neg
225,no injury malaysiagazette https t co notvpy4vfe,0.556,0.444,0.0,-0.6124,neg
226,Babinsa Koramil 09 patrols forest and land fires with residents anticipating forest and land fires https t co 3qnxr8gn5y,0.0,1.0,0.0,0.0,neu
227,bhkes no poor souls report https t co zwevinb6hx,0.469,0.531,0.0,-0.6486,neg
228,"hi friend, info bmkg kalbar potential easy to burn forest and land in the west kalimantan region for this pack for the area it is included in the easy category - very easy karhutla karhutlakalbar infobmkgkalbar weatherkalbar https t co 79xldx8gwt",0.0,0.746,0.254,0.8979,pos
229,burn forest in rome https t co nmrsb1qily,0.0,1.0,0.0,0.0,neu
230,forest and land in the village like advanced natural rohul burns great https t co e4tukkek4y,0.0,0.498,0.502,0.9839,pos
231,burning forest during road trip in Kalimantan - https t co qmvihkouvh https t co kinviyaf21,0.0,1.0,0.0,0.0,neu
232,burning forest during road trip in Kalimantan - https t co eoohba3hae https t co gu1wctghqu,0.0,1.0,0.0,0.0,neu
233,"Happy Sunday night, friends, because tomorrow is the weekend and it's perfect for a holiday. Mimin wants to share information on the Indonesian weather forecast for the next 3 days. Watch for the potential for forest fires in the East Nusa Tenggara region. Stay alert, friends & happy weekend. Overview of the weather. Bmkg. https t co y7qk5ssydt",0.0,0.653,0.347,0.9732,pos
234,"big fires land on forest and land in the village like progress, the sub-district head expands the district of Rok Hulu Rohul Riau Saturday 9 7 2022 https t co undsjuqfx3",0.0,0.789,0.211,0.6908,pos
235,"what's wrong, tot cm the problem just like that until it's made big like forest fire https t co akvrjdsmtc",0.301,0.515,0.184,-0.4939,neg
236,"bro s41d thank you bang said wkwkwk it's hard to burn your heart, bro, you lost, you burnt the forest, so it's a loss to take it with you, it's fun",0.169,0.674,0.156,0.1335,pos
237,"1 electro and dendro react yess the pattern is beautiful even though I don't really understand the effect of 2 which is hydro, how do I understand why there are seeds like that, then 3 is impatient to burn forests with klee 4 different reactions, drop waw makes more and more thoughts about playing this game, guys haha ​​but I'm worth it",0.065,0.735,0.2,0.8428,pos
238,flash sale i like alms a set of 5 flash sale books from 178 000 to 148 750 myself from 1 beautiful smile rajwa 2 visit madam burn 3 trees of heaven fruit dur 4 al-qur an braille for tum 5 lost in the forest https t co sf7dyf1bmi,0.046,0.707,0.246,0.9999,pos
239,Babinsa Koramil 04 Indra urges people to stay alert to forest and land fires https t co sy4wzqpgzc https t co o3do5y4650,0.0,0.896,0.104,0.296,pos
240,"hi friends, info bmkg kalbar potential easy to burn forest and land in the west kalimantan region for this pack for the area it is in the easy category - very easy karhutla karhutlakalbar infobmkgkalbar weatherkalbar https t co xojknqinkr",0.0,0.742,0.258,0.8957,pos
241,"France lands wildfires, threatens unesco site https t co r2vupmgmlc",0.245,0.755,0.0,-0.3818,neg
242,smoke from forest fires destroys ozone layer https t co wrxkytrmsi,0.286,0.714,0.0,-0.5574,neg
243,"ekowboy2 keep on fighting even though it's like dew drops that mean to stop burning the true forest, God who can rain and stop burning the people's job is only effort and prayer",0.167,0.654,0.179,0.128,pos
244,forest fire smoke insulation makes ispa just the same as unhealthy,0.392,0.608,0.0,-0.7003,neg
245,South Sumatra prone to forest fires is now the most ready to face https t co yciploeort sumsel karhutla,0.0,0.859,0.141,0.6794,pos
246,a pratama2001 gatse8 oh yes they can move because of the funds collected by fpi and act wekekekeke pantesan mount kelud erupts mount krakatau erupts aceh tsunami burns forests where it is the punishment for disbanding fpi and act,0.076,0.859,0.064,-0.128,neg
247,"what kind of cigarette did you smoke when you smoked, it's a forest fire, bro, isn't it? https t co pfltya6zxs",0.118,0.882,0.0,-0.34,neg
